text,category
"Hola cómo estás","charla"
"Buenas tardes, qué tal tu día","charla"
"Cómo te va hoy","charla"
"Cuéntame un chiste","chsite"
"Necesito reírme, dame un chiste","chsite"
"Puedes contarme un chiste bueno","chsite"
"Cómo está el clima hoy","clima"
"Va a llover esta tarde en Buenos Aires","clima"
"Qué temperatura hace en la ciudad","clima"
"A qué hora empieza mi reunión de hoy","horario"
"Cuál es mi agenda para esta mañana","horario"
"Muéstrame mi horario del día","horario"
"Qué fecha es hoy","fecha"
"Dime la fecha actual, por favor","fecha"
"Cuál es el día de hoy","fecha"
"Enciende las luces del salón","luces"
"Apaga las luces de la cocina","luces"
"Ajusta la intensidad de las luces del dormitorio","luces"
"Recuérdame llamar a Juan a las 3 PM","recordatorio"
"Pónme un recordatorio para comprar leche","recordatorio"
"Recuerda recordarme mi cita médica mañana","recordatorio"
"Qué novedades tienes hoy","charla"
"Cuéntame algo interesante","charla"
"Cómo te sientes este día","charla"
"Háblame de tus planes para el fin de semana","charla"
"Has visto la última película en cartelera","charla"
"Me gustaría conversar sobre música","charla"
"Cuál es tu libro favorito","charla"
"Cuéntame un poco sobre ti","charla"
"Qué opinas sobre la tecnología actual","charla"
"Hablemos de deportes, qué equipo sigues","charla"
"Tienes algún chiste nuevo","chsite"
"Cuéntame un chiste de animales","chsite"
"Necesito reírme, qué chiste me cuentas","chsite"
"Dame un chiste sobre programadores","chsite"
"Puedes contarme un chiste corto","chsite"
"Quiero escuchar un chiste gracioso","chsite"
"Sorpréndeme con tu mejor chiste","chsite"
"Tienes algún chiste ingenioso","chsite"
"Cómo está el estado del tiempo en Madrid","clima"
"Se espera lluvia hoy","clima"
"Cuál es la previsión del clima para esta semana","clima"
"Está soleado afuera","clima"
"Necesito datos del clima para planificar mi día","clima"
"Habrá tormenta esta noche","clima"
"Qué condiciones meteorológicas anuncian para mañana","clima"
"El pronóstico indica frío o calor para hoy","clima"
"Cuándo es mi próxima reunión","horario"
"Dime la hora de mi desayuno","horario"
"A qué hora debo ir a trabajar hoy","horario"
"Revisa mi agenda para la tarde","horario"
"Cuándo tengo programada la videollamada","horario"
"Muéstrame el calendario de hoy","horario"
"Cuándo empieza mi clase","horario"
"Necesito confirmar la hora de mi cita médica","horario"
"Qué día es hoy exactamente","fecha"
"Indícame la fecha actual","fecha"
"Quiero saber la fecha de hoy","fecha"
"Podrías decirme qué fecha es","fecha"
"Necesito saber el día de la semana","fecha"
"Cuál es la fecha de mañana","fecha"
"Consulta la fecha en mi zona horaria, por favor","fecha"
"Revisa la fecha en el calendario digital","fecha"
"Enciende las luces del comedor, por favor","luces"
"Apaga las luces exteriores","luces"
"Ajusta la luz del salón a modo tenue","luces"
"Sube la intensidad de las luces de lectura","luces"
"Recuérdame tomar mi medicación a las 8 AM","recordatorio"
"Programa un recordatorio para llamar a mamá","recordatorio"
"Quiero que me recuerdes enviar el correo mañana","recordatorio"
"Establece un recordatorio para la reunión de jueves","recordatorio"
"Qué has hecho hoy","charla"
"Cuéntame algo divertido que te haya pasado recientemente","charla"
"Qué piensas sobre la inteligencia artificial","charla"
"Comparte una anécdota interesante","charla"
"Te gusta la música Qué género prefieres","charla"
"Cuál fue la mejor parte de tu día","charla"
"Qué planes tienes para el fin de semana","charla"
"Háblame sobre tus hobbies","charla"
"Tienes algún sueño recurrente","charla"
